week,interest,keyword
2025-04-20,57,cancel doordash
2025-04-27,60,cancel doordash
2025-05-04,63,cancel doordash
2025-05-11,64,cancel doordash
2025-05-18,54,cancel doordash
2025-05-25,64,cancel doordash
2025-06-01,68,cancel doordash
2025-06-08,65,cancel doordash
2025-06-15,65,cancel doordash
2025-06-22,66,cancel doordash
2025-06-29,73,cancel doordash
2025-07-06,67,cancel doordash
2025-07-13,73,cancel doordash
2025-07-20,75,cancel doordash
2025-07-27,72,cancel doordash
2025-08-03,75,cancel doordash
2025-08-10,67,cancel doordash
2025-08-17,72,cancel doordash
2025-08-24,64,cancel doordash
2025-08-31,74,cancel doordash
2025-09-07,64,cancel doordash
2025-09-14,73,cancel doordash
2025-09-21,64,cancel doordash
2025-09-28,67,cancel doordash
2025-10-05,64,cancel doordash
2025-10-12,74,cancel doordash
2025-10-19,74,cancel doordash
2025-10-26,74,cancel doordash
2025-11-02,77,cancel doordash
2025-11-09,72,cancel doordash
2025-11-16,75,cancel doordash
2025-11-23,84,cancel doordash
2025-11-30,89,cancel doordash
2025-12-07,78,cancel doordash
2025-12-14,91,cancel doordash
2025-12-21,95,cancel doordash
2025-12-28,100,cancel doordash
2026-01-04,77,cancel doordash
2026-01-11,78,cancel doordash
2026-01-18,76,cancel doordash
2026-01-25,93,cancel doordash
2026-02-01,82,cancel doordash
2026-02-08,80,cancel doordash
2026-02-15,81,cancel doordash
2026-02-22,91,cancel doordash
2026-03-01,91,cancel doordash
2026-03-08,96,cancel doordash
2026-03-15,91,cancel doordash
2026-03-22,71,cancel doordash
2026-03-29,76,cancel doordash
2026-04-05,68,cancel doordash
2026-04-12,76,cancel doordash
2026-04-19,65,cancel doordash
2025-04-20,0,doordash too expensive
2025-04-27,0,doordash too expensive
2025-05-04,0,doordash too expensive
2025-05-11,0,doordash too expensive
2025-05-18,0,doordash too expensive
2025-05-25,0,doordash too expensive
2025-06-01,0,doordash too expensive
2025-06-08,0,doordash too expensive
2025-06-15,0,doordash too expensive
2025-06-22,0,doordash too expensive
2025-06-29,0,doordash too expensive
2025-07-06,0,doordash too expensive
2025-07-13,0,doordash too expensive
2025-07-20,0,doordash too expensive
2025-07-27,0,doordash too expensive
2025-08-03,0,doordash too expensive
2025-08-10,0,doordash too expensive
2025-08-17,0,doordash too expensive
2025-08-24,0,doordash too expensive
2025-08-31,0,doordash too expensive
2025-09-07,0,doordash too expensive
2025-09-14,0,doordash too expensive
2025-09-21,0,doordash too expensive
2025-09-28,0,doordash too expensive
2025-10-05,0,doordash too expensive
2025-10-12,0,doordash too expensive
2025-10-19,0,doordash too expensive
2025-10-26,0,doordash too expensive
2025-11-02,0,doordash too expensive
2025-11-09,0,doordash too expensive
2025-11-16,0,doordash too expensive
2025-11-23,0,doordash too expensive
2025-11-30,0,doordash too expensive
2025-12-07,0,doordash too expensive
2025-12-14,0,doordash too expensive
2025-12-21,0,doordash too expensive
2025-12-28,0,doordash too expensive
2026-01-04,0,doordash too expensive
2026-01-11,0,doordash too expensive
2026-01-18,0,doordash too expensive
2026-01-25,0,doordash too expensive
2026-02-01,0,doordash too expensive
2026-02-08,0,doordash too expensive
2026-02-15,0,doordash too expensive
2026-02-22,0,doordash too expensive
2026-03-01,0,doordash too expensive
2026-03-08,0,doordash too expensive
2026-03-15,0,doordash too expensive
2026-03-22,0,doordash too expensive
2026-03-29,0,doordash too expensive
2026-04-05,0,doordash too expensive
2026-04-12,100,doordash too expensive
